300
V(-494192.575842815, -1018.97971132694, 340398.58599434)
V(-494192.577198924, -1018.98184297237, 340398.583885593)
V(-494192.575431007, -1018.98144284252, 340398.586443402)
V(-494193.217813459, -1018.99140940799, 340399.035368659)
V(-494198.28113584, -1019.03172371629, 340402.54957177)
V(-494208.446362992, -1019.05932579805, 340409.571816423)
V(-494223.783502076, -1019.04795924692, 340420.165664819)
V(-494244.348454004, -1019.03397120558, 340434.415586387)
V(-494270.215308256, -1019.05933777425, 340452.379907669)
V(-494301.465654845, -1019.09957119952, 340474.106574875)
V(-494338.240132523, -1019.10734466753, 340499.548362018)
V(-494381.079639428, -1019.11733713707, 340527.997973782)
V(-494430.384306599, -1019.19177345887, 340558.942144302)
V(-494486.411551085, -1019.36312346236, 340592.096378065)
V(-494549.450692637, -1019.63603539232, 340627.078340556)
V(-494619.809343279, -1020.03067698592, 340663.452966848)
V(-494697.637384059, -1020.56218853126, 340701.156048397)
V(-494782.98369399, -1021.24232796015, 340740.376535855)
V(-494875.909250016, -1022.09194727946, 340781.235091243)
V(-494976.592893806, -1023.09526385164, 340823.543961557)
V(-495085.051866674, -1024.25836842814, 340867.421751853)
V(-495201.269267241, -1025.58815159354, 340913.05717283)
V(-495325.370168829, -1027.07703277393, 340960.378908755)
V(-495457.426168653, -1028.73203463721, 341009.461420523)
V(-495598.152819682, -1030.61861238879, 341058.840566011)
V(-495747.693535979, -1032.72994354612, 341108.395355282)
V(-495905.515348113, -1035.03828077514, 341159.575666591)
V(-496072.0942393, -1037.58246457656, 341211.625075094)
V(-496247.852171241, -1040.38944419523, 341263.797576306)
V(-496432.653331523, -1043.45317294969, 341316.611178889)
V(-496627.296378246, -1046.88644731761, 341368.14526912)
V(-496831.541611202, -1050.62118898583, 341419.583777873)
V(-497045.532593717, -1054.6722428541, 341470.821766711)
V(-497269.534854028, -1059.08264945424, 341521.514646819)
V(-497503.901665062, -1063.8997445477, 341571.007702898)
V(-497748.639451396, -1069.11899343602, 341619.557667881)
V(-498003.987738557, -1074.77901894771, 341666.780272361)
V(-498270.215306455, -1080.91185100375, 341712.236961693)
V(-498547.502494901, -1087.54726245187, 341755.771780942)
V(-498836.097268858, -1094.74193306632, 341796.680899376)
V(-499133.431769162, -1102.42901194796, 341834.701949634)
V(-499432.980129852, -1110.43795282349, 341868.90693136)
V(-499732.210456476, -1118.6724039654, 341898.992534671)
V(-500031.009185981, -1127.12799195364, 341925.192534213)
V(-500329.329766805, -1135.80448888371, 341947.631746953)
V(-500627.005403167, -1144.69315942219, 341966.75886446)
V(-500923.953558714, -1153.78921961248, 341982.882341212)
V(-501220.215734642, -1163.09123057795, 341996.06231803)
V(-501515.803136946, -1172.59811168537, 342006.434939731)
V(-501810.661065682, -1182.3065476407, 342014.305975529)
V(-502104.769288079, -1192.21242206516, 342019.927136991)
V(-502398.177494282, -1202.31793905973, 342023.391572396)
V(-502690.431565196, -1212.60744299024, 342024.694215708)
V(-502981.18166714, -1223.06722111962, 342023.953347029)
V(-503270.493405008, -1233.69760558749, 342021.332623743)
V(-503558.486904581, -1244.50060187065, 342016.861515346)
V(-503845.297237192, -1255.47884697226, 342010.526807474)
V(-504131.06724582, -1266.63174336496, 342002.371959901)
V(-504416.017095154, -1277.98238630251, 341992.299986454)
V(-504700.339043712, -1289.59035845487, 341980.174695264)
V(-504984.245717958, -1301.49503085175, 341965.792399112)
V(-505267.86355471, -1313.72293629634, 341949.1377013)
V(-505551.346805709, -1326.31027800765, 341929.953975122)
V(-505835.096220458, -1339.31269506669, 341907.048874189)
V(-506119.820461295, -1352.79411305348, 341878.791902414)
V(-506413.13257973, -1367.23017303068, 341842.05152151)
V(-506718.526702937, -1382.89172310031, 341795.835766714)
V(-507036.352340093, -1399.79592889016, 341741.364603391)
V(-507366.404800724, -1418.14455002806, 341677.759777505)
V(-507708.696337441, -1438.08460541726, 341604.769942288)
V(-508062.68692008, -1459.892921396, 341522.189274602)
V(-508422.977578275, -1483.16122444844, 341431.381327759)
V(-508784.246354212, -1507.19521384088, 341334.27429195)
V(-509145.047459559, -1531.8239892527, 341231.932182237)
V(-509505.468074147, -1557.14281436351, 341124.202463432)
V(-509865.602440742, -1583.24221354442, 341011.238054396)
V(-510225.377516307, -1610.1803520364, 340894.084918464)
V(-510584.641041827, -1637.95130422909, 340774.059503042)
V(-510943.466462992, -1666.62834092396, 340651.329835364)
V(-511302.182032832, -1696.37803692575, 340524.765114452)
V(-511660.95602212, -1727.30658152696, 340394.561933422)
V(-512019.691865339, -1759.48391189604, 340261.767742777)
V(-512378.438290758, -1793.02577186341, 340126.708299577)
V(-512737.461930669, -1828.08105079128, 339989.484639032)
V(-513097.157139541, -1864.76851316288, 339851.263476542)
V(-513460.533921372, -1903.59138727246, 339712.988379027)
V(-513829.911836109, -1944.91347466447, 339572.596984859)
V(-514205.909312346, -1988.89550800829, 339427.745204226)
V(-514588.617565142, -2035.76403419226, 339279.245466677)
V(-514978.145412049, -2085.71847841581, 339128.064802721)
V(-515374.592875843, -2138.98323615264, 338975.00110425)
V(-515777.918974008, -2195.87387143552, 338820.370603082)
V(-516188.447982925, -2255.6533942694, 338662.643084183)
V(-516606.353222237, -2315.78431032443, 338500.211680281)
V(-517031.738302261, -2375.20640353457, 338332.762712059)
V(-517464.81025861, -2434.7763758647, 338159.858463336)
V(-517905.671700772, -2494.39919670791, 337979.971089109)
V(-518354.451498788, -2553.54010262996, 337792.863201362)
V(-518811.280689032, -2611.98102723031, 337598.373717105)
V(-519276.315154152, -2669.68428388629, 337396.408471709)
V(-519749.751714559, -2726.59928821867, 337187.179823579)
V(-520231.814790332, -2782.84040789786, 336970.984648031)
V(-520722.726662421, -2838.62510281557, 336747.950878526)
V(-521222.643923753, -2894.24660633466, 336517.698936328)
V(-521731.825759931, -2950.05917297624, 336280.640301298)
V(-522250.572615873, -3006.0772494873, 336037.49873453)
V(-522779.191264224, -3062.5681019928, 335788.847010433)
V(-523317.781124925, -3119.53775658357, 335534.39569377)
V(-523866.432713476, -3176.11413182643, 335274.435380703)
V(-524425.318128436, -3232.03689758112, 335009.822869537)
V(-524994.451307733, -3287.81686920208, 334739.442737196)
V(-525573.444583968, -3344.48665432714, 334459.546283891)
V(-526161.800568882, -3402.66770260063, 334167.574483847)
V(-526759.226068058, -3462.31071961438, 333862.345925925)
V(-527365.882690605, -3522.46438692857, 333543.873675785)
V(-527982.088630875, -3583.65500830296, 333212.591115787)
V(-528608.025919114, -3646.82783545254, 332868.733249578)
V(-529243.722025079, -3711.90841745028, 332511.978471131)
V(-529889.201641669, -3778.06231471643, 332141.939700567)
V(-530544.657546392, -3845.09500753263, 331758.731796923)
V(-531210.395214331, -3913.74277147, 331362.776867484)
V(-531886.595542709, -3984.41390646971, 330954.221636232)
V(-532573.377550122, -4056.28178082935, 330532.866190828)
V(-533270.885365214, -4128.66688706075, 330098.690366375)
V(-533979.366146432, -4201.2883025589, 329651.949738643)
V(-534699.154380871, -4273.32257605001, 329193.186371565)
V(-535430.611446345, -4344.36435708852, 328722.986743424)
V(-536174.053029646, -4414.44928481766, 328241.714479661)
V(-536929.545519057, -4483.94361193129, 327748.937977934)
V(-537697.103360666, -4553.57110904169, 327244.105771297)
V(-538476.928679204, -4623.3753903055, 326727.227617732)
V(-539269.206658305, -4693.59306324956, 326198.281238366)
V(-540074.450920625, -4764.49232293139, 325656.747685701)
V(-540899.599827086, -4836.53001956539, 325099.238981873)
V(-541747.198094877, -4910.54747650511, 324524.400223705)
V(-542602.642095852, -4985.54355012369, 323938.205693855)
